"Length 
(ft)",年差值,Year,GDP,Make_Alliage,Make_Allures,Make_Alubat,Make_Amel,Make_Archambault,Make_Azuree,Make_B-Yachts,Make_Bavaria,Make_Bavaria ,Make_Beneteau,Make_Beneteau ,Make_Bestevaer,Make_Boreal,Make_C&C,Make_Cabo Rico,Make_Caliber,Make_Catalina,Make_Catalina ,Make_Comar,Make_Contest,Make_Dehler,Make_Delphia,Make_Discovery,Make_Dufour,Make_Dufour ,Make_Elan,Make_Grand Soleil,Make_Hallberg-Rassy,Make_Hanse,Make_Hanse ,Make_Harmony,Make_Hunter,Make_Hunter ,Make_Hylas,Make_Island Packet,Make_J Boats,Make_J boats,Make_Jeanneau,Make_Jeanneau ,Make_Malo,Make_Maxi,Make_Moody,Make_Morris,Make_Najad,Make_Nauticat,Make_Nautor,Make_Nordship,Make_Oyster,Make_Passport,Make_Poncin,Make_RM Yachts,Make_Rustler,Make_Sabre,Make_Salona,Make_ShearWater,Make_Sly,Make_Solaris,Make_Southerly,Make_Sunbeam,Make_Sweden Yachts,Make_Tartan,Make_Tayana,Make_Tofinou,Make_Triplast,Make_Van De Stadt,Make_Vismara,Make_Wauquiez,Make_Wauquiez ,Make_X-Yachts,Make_Zuanelli,Region_Caribbean,Region_Europe,Region_USA,Country_Alabama,Country_Antigua and Barbuda,Country_Aruba,Country_Bahamas,Country_Belgium,Country_Belize,Country_British Virgin Islands,Country_Bulgaria,Country_California,Country_Connecticut,Country_Cork,Country_Croatia,Country_Cyprus,Country_Denmark,Country_Dominican Republic,Country_Estonia,Country_Florida,Country_France,Country_Georgia,Country_Germany,Country_Gibraltar,Country_Greece,Country_Grenada,Country_Guadeloupe,Country_Guatemala,Country_Hawaii,Country_Hungary,Country_Illinois,Country_Ireland,Country_Italy,Country_Jersey,Country_Louisiana,Country_Maine,Country_Malta,Country_Martinique,Country_Maryland,Country_Massachusetts,Country_Mexico,Country_Michigan,Country_Mississippi,Country_Monaco,Country_Netherlands,Country_Netherlands Antilles,Country_New Jersey,Country_New York,Country_North Carolina,Country_Norway,Country_Ohio,Country_Oregon,Country_Panama,Country_Portugal,Country_Puerto Rico,Country_Rhode Island,Country_Romania,Country_Saint Kitts and Nevis,Country_Saint Lucia,Country_Saint Vincent and the Grenadines,Country_Sint Maarten (Dutch part),Country_Slovenia,Country_South Carolina,Country_Spain,Country_Sweden,Country_Switzerland,Country_Texas,Country_Trinidad and Tobago,Country_Turkey,Country_U.S. Virgin Islands,Country_United Kingdom,Country_Virginia,Country_Washington,Country_West Indies,Country_Wisconsin,Listing Price (USD)
44,17,2006,43658.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358287
55,14,2009,43658.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601299
44,16,2007,43658.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290312
44,15,2008,43658.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289098
44,15,2008,30103.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,425144
41,18,2005,43658.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267233
41,6,2007,43658.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194351
54,16,2007,35657.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,352262
41,16,2017,30103.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412941
56,17,2006,15781.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495000
