"Length 
(ft)",Year,Make_Antares,Country_France,Make_Fountaine Pajot,Country_Martinique,Region_Caribbean,Make_Outremer,Make_Leopard,Make_Lagoon,Region_Europe,Country_Croatia,GDP,Country_Texas,Region_USA,Country_Greece,Make_Bali,Country_Mexico,Country_Spain,Make_Nautitech,Listing Price (USD)
45.8,2014,0,0,0,0,0,0,0,1,1,0,17685.0,0,0,0,0,0,0,0,472029.0
45.8,2017,0,0,0,0,1,0,0,1,0,0,83593.0,0,0,0,0,0,0,0,599000.0
43.0,2009,0,0,1,0,1,0,0,0,0,0,15781.0,0,0,0,0,0,0,0,327712.0
51.0,2012,0,0,0,0,1,0,0,1,0,0,15781.0,0,0,0,0,0,0,0,499000.0
45.8,2014,0,0,0,0,1,0,0,1,0,0,15781.0,0,0,0,0,0,0,0,449000.0
45.8,2018,0,0,0,0,1,0,0,1,0,0,15781.0,0,0,0,0,0,0,0,575000.0
47.0,2009,0,0,0,0,1,0,0,0,0,0,15781.0,0,0,0,0,0,0,1,364000.0
45.8,2017,0,0,0,0,1,0,0,1,0,0,29342.0,0,0,0,0,0,0,0,680000.0
45.8,2013,0,0,0,0,1,0,0,1,0,0,27478.0,0,0,0,0,0,0,0,369000.0
39.0,2016,0,0,0,0,1,0,0,1,0,0,27478.0,0,0,0,0,0,0,0,340000.0
39.0,2016,0,0,0,0,1,0,0,1,0,0,27478.0,0,0,0,0,0,0,0,340000.0
42.5,2015,0,0,0,0,1,0,1,0,0,0,27478.0,0,0,0,0,0,0,0,339999.0
42.5,2016,0,0,0,0,1,0,1,0,0,0,27478.0,0,0,0,0,0,0,0,239999.0
48.0,2016,0,0,0,0,1,0,1,0,0,0,27478.0,0,0,0,0,0,0,0,339999.0
39.0,2017,0,0,0,0,1,0,1,0,0,0,27478.0,0,0,0,0,0,0,0,209999.0
48.0,2017,0,0,0,0,1,0,1,0,0,0,27478.0,0,0,0,0,0,0,0,379999.0
52.0,2012,0,0,0,0,1,0,0,0,0,0,17225.0,0,0,0,0,0,0,0,675000.0
43.6,2016,0,0,1,0,0,0,0,0,1,0,51247.0,0,0,0,0,0,0,0,595804.0
40.0,2009,0,0,1,0,1,0,0,0,0,0,4420.0,0,0,0,0,0,0,0,194008.0
39.0,2010,0,0,0,0,1,0,0,1,0,0,4420.0,0,0,0,0,0,0,0,285000.0
45.8,2012,0,0,0,0,1,0,0,1,0,0,4420.0,0,0,0,0,0,0,0,400142.0
42.0,2015,0,0,0,0,1,0,0,1,0,0,4420.0,0,0,0,0,0,0,0,340459.0
42.0,2015,0,0,0,0,1,0,0,1,0,0,4420.0,0,0,0,0,0,0,0,340069.0
37.5,2014,0,0,0,0,1,0,1,0,0,0,4420.0,0,0,0,0,0,0,0,245000.0
42.5,2015,0,0,0,0,1,0,1,0,0,0,4420.0,0,0,0,0,0,0,0,359000.0
39.0,2016,0,0,0,0,1,0,1,0,0,0,4420.0,0,0,0,0,0,0,0,329000.0
39.0,2016,0,0,0,0,1,0,1,0,0,0,4420.0,0,0,0,0,0,0,0,329000.0
49.0,2016,0,0,1,0,1,0,0,0,0,0,48044.83,0,0,0,0,0,0,0,595000.0
43.6,2017,0,0,1,0,1,0,0,0,0,0,48044.83,0,0,0,0,0,0,0,540000.0
43.6,2017,0,0,1,0,1,0,0,0,0,0,48044.83,0,0,0,0,0,0,0,529000.0
48.0,2006,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,449000.0
41.0,2008,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,309739.0
41.0,2008,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,309079.0
39.0,2010,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,195000.0
39.0,2013,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,240000.0
45.8,2013,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,450000.0
45.8,2013,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,449000.0
38.0,2014,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,229000.0
45.8,2014,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,469000.0
45.8,2014,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,400142.0
45.8,2015,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,495000.0
45.8,2017,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,529000.0
45.8,2018,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,549000.0
39.0,2019,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,486056.0
39.0,2019,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,485500.0
45.8,2019,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,702976.0
45.8,2019,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,699635.0
45.8,2019,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,668327.0
45.8,2019,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,666903.0
45.8,2019,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,665000.0
45.8,2019,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,590000.0
48.0,2019,0,0,0,0,1,0,0,1,0,0,48044.83,0,0,0,0,0,0,0,1082175.0
47.0,2008,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,115000.0
37.5,2010,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,185000.0
46.0,2011,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,126000.0
42.5,2012,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,350000.0
42.5,2012,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,350000.0
42.5,2012,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,315000.0
48.0,2013,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,479000.0
48.0,2013,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,449000.0
48.0,2013,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,449000.0
48.0,2013,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,419000.0
37.5,2014,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,110000.0
37.5,2014,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,105000.0
48.0,2014,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,455000.0
48.0,2014,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,449000.0
48.0,2014,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,429000.0
48.0,2014,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,400000.0
39.0,2015,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,95000.0
42.5,2015,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,349000.0
42.5,2015,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,339000.0
42.5,2015,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,339000.0
42.5,2015,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,329000.0
42.5,2015,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,329000.0
48.0,2015,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,149000.0
42.5,2016,0,0,0,0,1,0,1,0,0,0,48044.83,0,0,0,0,0,0,0,389000.0
